,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
258,boom clap - from the motion picture das schicksal ist ein mieser verräter,charli xcx,candy pop,2014,92,81,68,-4,34,64,169,7,6,50
259,la la la (brasil 2014) (feat. carlinhos brown),shakira,colombian pop,2014,128,82,80,-5,35,61,198,18,4,50
260,tee shirt - soundtrack version,birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49
261,words as weapons,birdy,neo mellow,2014,120,35,53,-9,14,19,239,28,3,44
262,you're mine (eternal),mariah carey,dance pop,2014,149,58,63,-7,38,56,224,28,7,38
263,sheezus,lily allen,dance pop,2014,130,50,78,-7,11,39,235,15,4,37
264,cannonball,lea michele,hollywood,2014,92,82,56,-3,19,57,215,2,5,37
265,it's on again - main soundtrack,alicia keys,hip pop,2014,110,54,64,-9,25,53,230,10,11,30
266,i luh ya papi,jennifer lopez,dance pop,2014,96,73,74,-6,12,59,207,45,42,28
267,not a bad thing,justin timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0
268,thinking out loud,ed sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84
269,i'm not the only one,sam smith,pop,2015,82,49,68,-6,8,49,239,53,4,84
272,uptown funk,mark ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
273,take me to church,hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
275,sorry,justin bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
276,fourfiveseconds,rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
277,"love me like you do - from ""fifty shades of grey""",ellie goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79
278,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79
279,what do you mean?,justin bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,79
281,want to want me,jason derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,77
282,my house,flo rida,dance pop,2015,94,70,69,-5,13,74,192,2,5,77
283,waves - robin schulz radio edit,mr. probz,tropical house,2015,120,51,83,-9,8,45,208,1,4,77
284,night changes,one direction,boy band,2015,120,52,67,-8,12,37,227,86,4,77
285,how deep is your love,calvin harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,77
286,never forget you,zara larsson,dance pop,2015,146,73,58,-6,27,28,213,0,5,77
287,love me harder,ariana grande,dance pop,2015,99,71,47,-4,8,24,236,1,3,76
288,animals,maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,76
289,blame,calvin harris,dance pop,2015,128,86,41,-4,34,35,213,3,8,76
290,worth it,fifth harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75
291,break free,ariana grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75
292,don't,ed sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74
293,elastic heart,sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73
294,rather be (feat. jess glynne),clean bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73
295,hello,adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73
296,dear future husband,meghan trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72
297,43776,beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72
298,the heart wants what it wants,selena gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72
299,"hey mama (feat. nicki minaj, bebe rexha & afrojack)",david guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72
300,genie in a bottle,christina aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72
302,sing,ed sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71
303,jealous - remix,nick jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70
304,really don't care,demi lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70
305,"downtown (feat. melle mel, grandmaster caz, kool moe dee & eric nally)",macklemore & ryan lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70
306,only love can hurt like this,paloma faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69
307,heartbeat song,kelly clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69
